"","reads.in","reads.out"
"CBW_01_16S_S1_R1_trimmed.fastq.gz",36479,32122
"CBW_02_16S_S2_R1_trimmed.fastq.gz",46874,41672
"CBW_03_16S_S3_R1_trimmed.fastq.gz",36014,26405
"CBW_04_16S_S4_R1_trimmed.fastq.gz",36381,30863
"CBW_05_16S_S5_R1_trimmed.fastq.gz",27017,20465
"CBW_06_16S_S6_R1_trimmed.fastq.gz",52621,46182
"CBW_07_16S_S7_R1_trimmed.fastq.gz",31146,21746
"CBW_08_16S_S8_R1_trimmed.fastq.gz",36005,31445
"CBW_09_16S_S9_R1_trimmed.fastq.gz",20918,17817
"CBW_10_16S_S10_R1_trimmed.fastq.gz",26512,21570
"CBW_11_16S_S11_R1_trimmed.fastq.gz",43440,21697
"CBW_12_16S_S12_R1_trimmed.fastq.gz",20405,14731
"CBW_13_16S_S13_R1_trimmed.fastq.gz",29613,26603
"CBW_14_16S_S14_R1_trimmed.fastq.gz",20649,16318
"CBW_15_16S_S15_R1_trimmed.fastq.gz",19455,46
"CBW_22_16S_S22_R1_trimmed.fastq.gz",9713,33
"CBW_53_16S_S53_R1_trimmed.fastq.gz",63257,58465
"CBW_91_16S_S91_R1_trimmed.fastq.gz",55529,51034
